,ENSO,SOI,NAO,PDO,PNA,AMO
1951-01-01,25.24,2.5,-0.42,-1.54,-1.18,0.096
1951-02-01,25.71,1.5,0.35,-1.06,-2.11,-0.008
1951-03-01,26.9,-0.2,-1.47,-1.9,-1.09,0.006
1951-04-01,27.58,-0.5,-0.38,-0.36,0.47,0.162
1951-05-01,27.92,-1.1,-0.5,-0.25,1.19,0.166
1951-06-01,27.73,0.3,-1.35,-1.09,-0.54,0.283
1951-07-01,27.6,-1.7,1.39,0.7,-0.44,0.415
1951-08-01,27.02,-0.4,-0.41,-1.37,0.02,0.297
1951-09-01,27.23,-1.8,-1.18,-0.08,-0.08,0.243
1951-10-01,27.2,-1.6,2.54,-0.32,0.43,0.252
1951-11-01,27.25,-1.3,-0.54,-0.28,0.21,0.168
1951-12-01,26.91,-1.2,1.13,-1.68,-1.59,0.168
1952-01-01,26.67,-1.5,0.57,-2.01,-3.19,0.165
1952-02-01,26.74,-1.0,-1.38,-0.46,0.08,0.176
1952-03-01,27.17,0.9,-1.97,-0.63,-0.69,0.224
1952-04-01,27.8,-0.4,0.95,-1.05,0.89,0.184
1952-05-01,27.79,1.2,-0.99,-1.0,-0.79,0.174
1952-06-01,27.18,1.2,-0.1,-1.43,0.53,0.376
1952-07-01,26.53,0.8,-0.06,-1.25,-1.57,0.366
1952-08-01,26.3,0.1,-0.49,-0.6,0.77,0.397
1952-09-01,26.36,-0.4,-0.38,-0.89,0.4,0.355
1952-10-01,26.26,0.6,-0.28,-0.35,1.05,0.348
1952-11-01,25.92,0.0,-1.32,-0.76,0.77,0.244
1952-12-01,26.21,-2.0,-0.49,0.04,0.63,0.334
1953-01-01,26.74,0.5,-0.12,-0.57,0.18,0.258
1953-02-01,27.0,-0.8,-1.0,-0.07,1.04,0.178
1953-03-01,27.57,-0.3,-0.45,-1.12,-0.44,0.134
1953-04-01,28.04,0.3,-1.96,0.05,0.78,0.306
1953-05-01,28.28,-2.8,-0.56,0.43,1.14,0.335
1953-06-01,28.12,0.2,1.41,0.29,-1.6,0.268
1953-07-01,27.43,-0.0,0.43,0.74,0.27,0.337
1953-08-01,26.94,-2.0,-1.04,0.05,-1.15,0.251
1953-09-01,27.01,-2.1,-0.19,-0.63,-0.14,0.273
