A,B,C,logE,t
AMZN,GLD,AAPL,0.38836509777216954,
MSFT,AMZN,NVDA,0.32443106456009285,
TSLA,TLT,NVDA,0.30005379112538155,
META,XOM,NVDA,0.24367813041636796,
MSFT,JPM,NVDA,0.23174310128111944,
AMZN,XOM,AAPL,0.22924179889424415,
META,USO,AAPL,0.2171623807536635,
AMZN,TLT,NVDA,0.17220495152064688,
AAPL,MSFT,NVDA,0.15959078384667272,
USO,TLT,NVDA,0.14774533832,
META,USO,JPM,0.1461075331679934,
TSLA,XOM,AAPL,0.1434764122054364,
TSLA,USO,AAPL,0.10118845086243011,
NVDA,XOM,MSFT,0.08647489916640087,
META,TLT,JPM,0.07222834208637087,
NVDA,AAPL,META,0.06065607454441839,
META,XOM,AAPL,0.058857632379501965,
MSFT,XOM,AAPL,0.053233382848807576,
NVDA,GLD,MSFT,0.050491564344849596,
NVDA,TLT,AAPL,0.04589636573632756,
NVDA,XOM,TSLA,0.03901118955289194,
TSLA,META,MSFT,0.0389895333715472,
AAPL,TLT,^VIX,0.038648939041046076,
MSFT,AMZN,META,0.026791364023859766,
AAPL,MSFT,XOM,0.0243748754176074,
AMZN,JPM,^VIX,0.023227241890305596,
AAPL,XOM,^VIX,0.022964963557529115,
NVDA,META,TLT,0.022365300232450088,
NVDA,AAPL,TLT,0.016325345639551916,
NVDA,AAPL,MSFT,0.016129949352120435,
NVDA,USO,JPM,0.01385655659397055,
META,XOM,JPM,0.010446871732420857,
MSFT,TLT,TSLA,0.002724608348711093,
MSFT,GLD,^VIX,0.0004807400670234976,
NVDA,MSFT,XOM,0.00045929952610468204,
JPM,XOM,AMZN,0.0,
META,GLD,AMZN,0.0,
TSLA,USO,XOM,0.0,
META,TLT,AMZN,0.0,
MSFT,JPM,AMZN,0.0,
AAPL,TLT,XOM,0.0,
AAPL,^VIX,XOM,0.0,
MSFT,AMZN,XOM,0.0,
AAPL,AMZN,XOM,0.0,
AAPL,META,XOM,0.0,
AAPL,JPM,XOM,0.0,
TSLA,USO,META,0.0,
NVDA,MSFT,META,0.0,
NVDA,AMZN,META,0.0,
USO,TLT,AMZN,0.0,
TLT,^VIX,AMZN,0.0,
TSLA,^VIX,XOM,0.0,
AAPL,USO,XOM,0.0,
GLD,^VIX,MSFT,0.0,
USO,^VIX,MSFT,0.0,
TSLA,NVDA,AMZN,0.0,
TSLA,AAPL,AMZN,0.0,
TSLA,MSFT,AMZN,0.0,
MSFT,TLT,XOM,0.0,
AMZN,^VIX,XOM,0.0,
META,JPM,XOM,0.0,
META,^VIX,XOM,0.0,
TSLA,XOM,AMZN,0.0,
TSLA,GLD,AMZN,0.0,
TSLA,USO,AMZN,0.0,
TSLA,USO,GLD,0.0,
GLD,USO,XOM,0.0,
AAPL,META,AMZN,0.0,
AAPL,^VIX,AMZN,0.0,
AAPL,TLT,AMZN,0.0,
AAPL,USO,AMZN,0.0,
AAPL,GLD,AMZN,0.0,
MSFT,GLD,AMZN,0.0,
MSFT,XOM,AMZN,0.0,
TSLA,GLD,XOM,0.0,
GLD,TLT,XOM,0.0,
TSLA,META,XOM,0.0,
TSLA,AMZN,XOM,0.0,
AAPL,MSFT,AMZN,0.0,
NVDA,^VIX,AMZN,0.0,
MSFT,META,AMZN,0.0,
USO,^VIX,XOM,0.0,
USO,TLT,XOM,0.0,
GLD,^VIX,XOM,0.0,
TSLA,JPM,XOM,0.0,
TSLA,AMZN,^VIX,0.0,
TSLA,META,^VIX,0.0,
TSLA,JPM,^VIX,0.0,
NVDA,AAPL,^VIX,0.0,
AAPL,USO,JPM,0.0,
AAPL,XOM,JPM,0.0,
XOM,^VIX,META,0.0,
GLD,TLT,META,0.0,
AMZN,USO,META,0.0,
JPM,XOM,META,0.0,
JPM,GLD,META,0.0,
JPM,^VIX,META,0.0,
NVDA,^VIX,TSLA,0.0,
TSLA,MSFT,META,0.0,
TSLA,AMZN,META,0.0,
TSLA,^VIX,AMZN,0.0,
XOM,GLD,AMZN,0.0,
XOM,TLT,AMZN,0.0,
XOM,^VIX,AMZN,0.0,
GLD,USO,AMZN,0.0,
NVDA,^VIX,TLT,0.0,
AAPL,MSFT,TLT,0.0,
NVDA,AMZN,TLT,0.0,
NVDA,USO,TLT,0.0,
AAPL,^VIX,NVDA,0.0,
MSFT,XOM,NVDA,0.0,
MSFT,JPM,TLT,0.0,
MSFT,GLD,TLT,0.0,
MSFT,^VIX,TLT,0.0,
META,GLD,NVDA,0.0,
META,^VIX,NVDA,0.0,
JPM,^VIX,AMZN,0.0,
TSLA,NVDA,META,0.0,
TSLA,AAPL,META,0.0,
NVDA,XOM,META,0.0,
NVDA,GLD,META,0.0,
NVDA,USO,META,0.0,
AAPL,MSFT,META,0.0,
AAPL,AMZN,META,0.0,
TSLA,XOM,META,0.0,
TSLA,NVDA,JPM,0.0,
TSLA,AAPL,JPM,0.0,
TSLA,AMZN,JPM,0.0,
TSLA,XOM,JPM,0.0,
AAPL,GLD,NVDA,0.0,
AAPL,USO,NVDA,0.0,
NVDA,AMZN,TSLA,0.0,
JPM,USO,TLT,0.0,
TSLA,XOM,NVDA,0.0,
XOM,^VIX,TSLA,0.0,
GLD,USO,TSLA,0.0,
JPM,^VIX,TLT,0.0,
AMZN,XOM,TLT,0.0,
AMZN,GLD,TLT,0.0,
TSLA,^VIX,NVDA,0.0,
AAPL,META,NVDA,0.0,
XOM,^VIX,TLT,0.0,
GLD,USO,TLT,0.0,
GLD,^VIX,TLT,0.0,
USO,^VIX,TLT,0.0,
TSLA,NVDA,^VIX,0.0,
TSLA,AAPL,^VIX,0.0,
JPM,GLD,TLT,0.0,
TSLA,JPM,NVDA,0.0,
NVDA,AMZN,^VIX,0.0,
NVDA,XOM,^VIX,0.0,
NVDA,GLD,^VIX,0.0,
NVDA,USO,^VIX,0.0,
AMZN,TLT,TSLA,0.0,
AMZN,^VIX,TSLA,0.0,
META,XOM,TSLA,0.0,
AAPL,MSFT,^VIX,0.0,
AAPL,JPM,^VIX,0.0,
TSLA,^VIX,JPM,0.0,
NVDA,AMZN,JPM,0.0,
JPM,GLD,^VIX,0.0,
AMZN,XOM,NVDA,0.0,
TLT,^VIX,TSLA,0.0,
META,USO,GLD,0.0,
JPM,GLD,NVDA,0.0,
JPM,TLT,NVDA,0.0,
JPM,^VIX,NVDA,0.0,
XOM,^VIX,NVDA,0.0,
AMZN,^VIX,NVDA,0.0,
META,JPM,NVDA,0.0,
AMZN,GLD,USO,0.0,
AMZN,^VIX,USO,0.0,
AAPL,^VIX,USO,0.0,
MSFT,AMZN,USO,0.0,
NVDA,^VIX,USO,0.0,
AAPL,MSFT,USO,0.0,
TLT,^VIX,NVDA,0.0,
XOM,^VIX,USO,0.0,
META,^VIX,USO,0.0,
JPM,^VIX,TSLA,0.0,
NVDA,^VIX,JPM,0.0,
AAPL,MSFT,JPM,0.0,
AAPL,AMZN,JPM,0.0,
TSLA,GLD,JPM,0.0,
TSLA,TLT,JPM,0.0,
AAPL,JPM,META,0.0,
AAPL,XOM,META,0.0,
AAPL,^VIX,META,0.0,
MSFT,JPM,META,0.0,
GLD,USO,JPM,0.0,
JPM,XOM,NVDA,0.0,
TSLA,META,NVDA,0.0,
USO,^VIX,META,0.0,
MSFT,XOM,META,0.0,
XOM,USO,TLT,0.0,
MSFT,META,TSLA,0.0,
GLD,USO,^VIX,0.0,
AAPL,AMZN,TSLA,0.0,
NVDA,MSFT,TSLA,0.0,
META,^VIX,JPM,0.0,
MSFT,^VIX,JPM,0.0,
AMZN,META,JPM,0.0,
AMZN,XOM,JPM,0.0,
NVDA,JPM,META,0.0,
XOM,USO,JPM,0.0,
XOM,^VIX,JPM,0.0,
MSFT,AMZN,JPM,0.0,
GLD,^VIX,JPM,0.0,
AMZN,^VIX,JPM,0.0,
META,^VIX,TSLA,0.0,
AAPL,^VIX,TSLA,0.0,
AAPL,META,TSLA,0.0,
TSLA,MSFT,USO,0.0,
NVDA,AAPL,GLD,0.0,
NVDA,MSFT,GLD,0.0,
NVDA,AMZN,GLD,0.0,
NVDA,META,GLD,0.0,
TSLA,NVDA,GLD,0.0,
TSLA,AMZN,GLD,0.0,
TSLA,XOM,GLD,0.0,
AAPL,AMZN,GLD,0.0,
AAPL,META,GLD,0.0,
AAPL,USO,MSFT,0.0,
TSLA,XOM,MSFT,0.0,
AMZN,^VIX,GLD,0.0,
AAPL,USO,GLD,0.0,
AAPL,TLT,GLD,0.0,
MSFT,^VIX,USO,0.0,
MSFT,AMZN,GLD,0.0,
MSFT,META,GLD,0.0,
NVDA,USO,GLD,0.0,
NVDA,^VIX,GLD,0.0,
META,TLT,GLD,0.0,
MSFT,^VIX,GLD,0.0,
AMZN,META,GLD,0.0,
AMZN,XOM,GLD,0.0,
AMZN,USO,GLD,0.0,
AMZN,TLT,GLD,0.0,
MSFT,^VIX,XOM,0.0,
AMZN,META,XOM,0.0,
AMZN,GLD,XOM,0.0,
AMZN,TLT,XOM,0.0,
AAPL,GLD,XOM,0.0,
AAPL,^VIX,GLD,0.0,
NVDA,USO,AAPL,0.0,
TSLA,AMZN,AAPL,0.0,
TSLA,JPM,AAPL,0.0,
TSLA,^VIX,AAPL,0.0,
TSLA,MSFT,TLT,0.0,
TSLA,JPM,TLT,0.0,
TSLA,XOM,TLT,0.0,
TSLA,GLD,TLT,0.0,
NVDA,^VIX,AAPL,0.0,
NVDA,MSFT,AAPL,0.0,
JPM,XOM,AAPL,0.0,
MSFT,^VIX,AAPL,0.0,
AMZN,JPM,AAPL,0.0,
AMZN,^VIX,AAPL,0.0,
META,XOM,GLD,0.0,
TSLA,AAPL,USO,0.0,
USO,^VIX,AAPL,0.0,
TLT,^VIX,AAPL,0.0,
JPM,^VIX,AAPL,0.0,
TSLA,AMZN,USO,0.0,
TSLA,XOM,USO,0.0,
TSLA,GLD,USO,0.0,
TSLA,TLT,USO,0.0,
XOM,USO,GLD,0.0,
USO,TLT,GLD,0.0,
TLT,^VIX,GLD,0.0,
AAPL,AMZN,USO,0.0,
AAPL,META,USO,0.0,
AAPL,XOM,USO,0.0,
TSLA,^VIX,USO,0.0,
NVDA,MSFT,USO,0.0,
GLD,^VIX,AAPL,0.0,
JPM,^VIX,XOM,-2.4751772015079773e-06,
XOM,^VIX,AAPL,-9.396058379082768e-06,
TLT,^VIX,USO,-1.9851421210974388e-05,
AAPL,META,TLT,-3.5188450394709005e-05,
TLT,^VIX,XOM,-3.955660961905161e-05,
AAPL,TLT,TSLA,-0.00010296472669179509,
MSFT,GLD,XOM,-0.00011327578000469893,
XOM,GLD,META,-0.00013437861239409346,
MSFT,TLT,JPM,-0.00014198559381183376,
MSFT,META,AAPL,-0.00015965213533164347,
TSLA,GLD,^VIX,-0.00016718717484383,
MSFT,GLD,NVDA,-0.000198492793059595,
TSLA,XOM,^VIX,-0.00024313618625444966,
AMZN,TLT,JPM,-0.0002487200638800054,
NVDA,TLT,^VIX,-0.0002564550713841204,
AMZN,GLD,^VIX,-0.00026493955604403406,
GLD,TLT,USO,-0.00027153508079826174,
GLD,^VIX,USO,-0.00027920315995905675,
AAPL,XOM,MSFT,-0.00029418870271027465,
MSFT,TLT,AMZN,-0.00029538037733408914,
AAPL,TLT,USO,-0.0003421898197013629,
MSFT,AMZN,^VIX,-0.00035577482178122776,
AMZN,USO,XOM,-0.00036079213614914,
AMZN,JPM,NVDA,-0.0003645550333743853,
NVDA,MSFT,^VIX,-0.0004249180722739429,
NVDA,MSFT,TLT,-0.0004428813004148188,
JPM,USO,AAPL,-0.0004992283332356444,
MSFT,GLD,TSLA,-0.0005060061368241937,
AMZN,JPM,XOM,-0.000595856788619104,
JPM,USO,^VIX,-0.0006019921242549066,
XOM,^VIX,MSFT,-0.0006099243627537165,
JPM,USO,XOM,-0.000676777681559425,
NVDA,JPM,USO,-0.0006986760662817201,
AAPL,MSFT,TSLA,-0.0007637271658396127,
NVDA,XOM,AAPL,-0.0007985565187573992,
NVDA,META,XOM,-0.0008101492038602899,
META,GLD,^VIX,-0.0008596422058960533,
MSFT,GLD,META,-0.0010749580518729983,
MSFT,USO,JPM,-0.0010846604058005883,
TSLA,GLD,META,-0.0011136188370296453,
JPM,XOM,GLD,-0.0011689445969720695,
XOM,TLT,META,-0.0012357253061038563,
AAPL,AMZN,NVDA,-0.0013021407136295927,
