A,B,C,logE,t
TSLA,GLD,USO,0.8355928111676852,258.0
NVDA,MSFT,AAPL,0.43317655540222616,204.0
TSLA,XOM,^VIX,0.2503287831639476,
XOM,USO,NVDA,0.22963952338937416,
AAPL,JPM,XOM,0.20017018924071198,197.0
AAPL,XOM,MSFT,0.055832597785810206,
AAPL,TLT,XOM,0.026381126579106514,192.0
NVDA,AAPL,GLD,0.0,
AMZN,META,AAPL,0.0,
META,TLT,AAPL,0.0,
USO,TLT,XOM,0.0,
TSLA,TLT,JPM,0.0,
NVDA,AAPL,XOM,0.0,
JPM,GLD,^VIX,0.0,
NVDA,AAPL,TSLA,0.0,
NVDA,GLD,AAPL,0.0,
META,GLD,AAPL,0.0,
NVDA,XOM,AAPL,0.0,
NVDA,TLT,USO,-0.012582259633968902,
XOM,TLT,META,-0.03534335910611659,
AAPL,GLD,JPM,-0.052570415637805526,
NVDA,XOM,META,-0.09145576578983929,
JPM,XOM,NVDA,-0.12228775206996399,
AAPL,XOM,USO,-0.12564239158652193,
JPM,GLD,META,-0.1290159998375559,
JPM,XOM,TSLA,-0.13352120201719417,
NVDA,XOM,JPM,-0.13972094580732441,
XOM,TLT,USO,-0.1670306069957446,
AMZN,TLT,AAPL,-0.2094929115085967,
AMZN,JPM,AAPL,-0.20962144158857882,
MSFT,META,^VIX,-0.21028010954880602,
NVDA,TLT,^VIX,-0.23210110997500608,
NVDA,XOM,MSFT,-0.2776845317763622,
NVDA,GLD,MSFT,-0.2776845317763622,
AAPL,META,XOM,-0.3174179069158234,
GLD,TLT,NVDA,-0.32471452745934937,
AMZN,GLD,NVDA,-0.32471452745934937,
MSFT,AMZN,^VIX,-0.33639261792709385,
AAPL,XOM,GLD,-0.336592405699368,
TSLA,AMZN,TLT,-0.34134283086085804,
AMZN,TLT,^VIX,-0.35058227519239443,
AAPL,MSFT,XOM,-0.3795742532852771,
TSLA,MSFT,AMZN,-0.3817674734147963,
JPM,USO,META,-0.3988768208870808,
AAPL,JPM,^VIX,-0.4071234850031447,
MSFT,^VIX,JPM,-0.41660983368045373,
META,XOM,NVDA,-0.42297350650381693,
USO,^VIX,TLT,-0.4369514294030388,589.0
AAPL,^VIX,GLD,-0.44923028902510237,
NVDA,AMZN,META,-0.45461420824144344,
XOM,USO,TLT,-0.45855933155686046,
NVDA,MSFT,META,-0.45870314748802,
NVDA,AMZN,USO,-0.4664210099879084,
MSFT,AMZN,META,-0.46946297202382026,
TSLA,NVDA,MSFT,-0.4817339802475188,
MSFT,^VIX,USO,-0.4830993403217446,
TSLA,NVDA,XOM,-0.48620143650769815,
TSLA,GLD,JPM,-0.5037429648181713,232.0
AMZN,XOM,GLD,-0.5119617654621467,
XOM,TLT,GLD,-0.5119617654621467,
AMZN,META,^VIX,-0.5207770567424634,
AAPL,^VIX,USO,-0.5218544014975128,
TSLA,USO,AAPL,-0.5269235683496228,
AAPL,AMZN,JPM,-0.5385582873292738,
AMZN,JPM,GLD,-0.5456567493584289,
META,XOM,AAPL,-0.54579296434037,
NVDA,MSFT,TSLA,-0.548589768911622,
JPM,XOM,AAPL,-0.5552704344457537,
TSLA,MSFT,NVDA,-0.5603966874277803,
AAPL,AMZN,USO,-0.5620810794516633,
AAPL,AMZN,META,-0.5674042478836755,
NVDA,MSFT,AMZN,-0.5686536559547917,
XOM,USO,JPM,-0.5801208950416248,
AMZN,^VIX,GLD,-0.5982270523419084,
TSLA,XOM,JPM,-0.6111442200111085,
AMZN,TLT,JPM,-0.6112893596692189,
TSLA,MSFT,GLD,-0.6129463387812457,
NVDA,MSFT,^VIX,-0.620417958003196,
AAPL,^VIX,TLT,-0.6259672984479141,
NVDA,GLD,TSLA,-0.6264310704992804,
MSFT,XOM,AMZN,-0.6521995810653571,
USO,TLT,MSFT,-0.6585011732098395,
AMZN,JPM,^VIX,-0.6636694083822667,
AMZN,JPM,META,-0.6656524965371001,
XOM,TLT,AAPL,-0.665713409714562,
TSLA,JPM,TLT,-0.6691730175322422,
META,GLD,^VIX,-0.6742143542175852,
META,^VIX,JPM,-0.6801551716843032,
AMZN,^VIX,TLT,-0.6820545207274509,
META,TLT,XOM,-0.6981439243439573,
NVDA,AAPL,JPM,-0.7077206626109587,
TSLA,JPM,^VIX,-0.7077845852960469,
TSLA,AMZN,GLD,-0.7105769968857033,
AMZN,META,NVDA,-0.7146327814926619,
NVDA,META,^VIX,-0.7158179880583777,
AMZN,TLT,XOM,-0.7277185024980758,
META,TLT,AMZN,-0.7480180370075183,
MSFT,META,AAPL,-0.7524059668784279,
JPM,USO,XOM,-0.7630528271339945,
